,Injection Location (%C),Injection Size (%C),CL,CD,Re,chord
-20,4,0.5,-0.65,0.28,1000000,460
-19.5,4,0.5,-0.66,0.265,1000000,460
-19,4,0.5,-0.67,0.25,1000000,460
-18.5,4,0.5,-0.68,0.235,1000000,460
-18,4,0.5,-0.69,0.22,1000000,460
-17.5,4,0.5,-0.7,0.205,1000000,460
-17,4,0.5,-0.7,0.19,1000000,460
-16.5,4,0.5,-0.7,0.175,1000000,460
-16,4,0.5,-0.7,0.16,1000000,460
-15.5,4,0.5,-0.7,0.14,1000000,460
-15,4,0.5,-0.7,0.12,1000000,460
-14.5,4,0.5,-0.68,0.11,1000000,460
-14,4,0.5,-0.66,0.1,1000000,460
-13.5,4,0.5,-0.62,0.09,1000000,460
-13,4,0.5,-0.58,0.08,1000000,460
-12.5,4,0.5,-0.55,0.07,1000000,460
-12,4,0.5,-0.5,0.06,1000000,460
-11.5,4,0.5,-0.45,0.055,1000000,460
-11,4,0.5,-0.4,0.05,1000000,460
-10.5,4,0.5,-0.35,0.045,1000000,460
-10,4,0.5,-0.3,0.04,1000000,460
-9.5,4,0.5,-0.25,0.038,1000000,460
-9,4,0.5,-0.2,0.035,1000000,460
-8.5,4,0.5,-0.15,0.032,1000000,460
-8,4,0.5,-0.1,0.03,1000000,460
-7.5,4,0.5,-0.05,0.028,1000000,460
-7,4,0.5,0,0.025,1000000,460
-6.5,4,0.5,0.05,0.024,1000000,460
-6,4,0.5,0.1,0.022,1000000,460
-5.5,4,0.5,0.15,0.02,1000000,460
-5,4,0.5,0.2,0.02,1000000,460
-4.5,4,0.5,0.25,0.02,1000000,460
-4,4,0.5,0.3,0.02,1000000,460
-3.5,4,0.5,0.35,0.02,1000000,460
-3,4,0.5,0.4,0.02,1000000,460
-2.5,4,0.5,0.45,0.019,1000000,460
-2,4,0.5,0.5,0.018,1000000,460
-1.5,4,0.5,0.55,0.018,1000000,460
-1,4,0.5,0.6,0.018,1000000,460
-0.5,4,0.5,0.65,0.018,1000000,460
0,4,0.5,0.7,0.018,1000000,460
0.5,4,0.5,0.75,0.018,1000000,460
1,4,0.5,0.8,0.018,1000000,460
1.5,4,0.5,0.85,0.018,1000000,460
2,4,0.5,0.9,0.018,1000000,460
2.5,4,0.5,0.95,0.019,1000000,460
3,4,0.5,1,0.02,1000000,460
3.5,4,0.5,1.05,0.022,1000000,460
4,4,0.5,1.1,0.025,1000000,460
4.5,4,0.5,1.15,0.028,1000000,460
5,4,0.5,1.2,0.03,1000000,460
5.5,4,0.5,1.24,0.035,1000000,460
6,4,0.5,1.28,0.04,1000000,460
6.5,4,0.5,1.32,0.045,1000000,460
7,4,0.5,1.36,0.05,1000000,460
7.5,4,0.5,1.4,0.055,1000000,460
8,4,0.5,1.44,0.06,1000000,460
8.5,4,0.5,1.48,0.08,1000000,460
9,4,0.5,1.52,0.1,1000000,460
9.5,4,0.5,1.55,0.11,1000000,460
10,4,0.5,1.58,0.12,1000000,460
10.5,4,0.5,1.6,0.125,1000000,460
