,AOA,injection_location,injection_slot_size,predicted_cl,predicted_cd
0,0,5,0.5,-0.06984080154364247,0.3246882584034701
1,1,5,0.5,-0.02241007128481909,0.34021510236373126
2,2,5,0.5,0.02331280989589332,0.3548554940567115
3,3,5,0.5,0.06903569107660601,0.37072986267312086
4,4,5,0.5,0.11489892871103471,0.38778459426463024
5,5,5,0.5,0.1581572931575533,0.4049353799232082
6,6,5,0.5,0.1966562786902894,0.42208616558178597
7,7,5,0.5,0.23081463726861517,0.441870943844536
8,8,5,0.5,0.2648397141858398,0.4620706795800696
9,9,5,0.5,0.2989067565135811,0.4801831112331109
10,10,5,0.5,0.33590455938407293,0.49749699340819714
11,11,5,0.5,0.3721190429096308,0.5123362173701443
12,12,5,0.5,0.4068704182012782,0.5274260730262939
13,13,5,0.5,0.4416083784238836,0.5431227777772133
14,14,5,0.5,0.47345438642326537,0.558775291031357
15,15,5,0.5,0.5021519001664603,0.573965118788041
16,16,5,0.5,0.5268184319920786,0.5891549465447251
17,17,5,0.5,0.5479615854739073,0.6043447743014094
18,18,5,0.5,0.5691106218608306,0.6196111344997718
19,19,5,0.5,0.5892508333693809,0.6350319867274447
20,20,5,0.5,0.6102629422365793,0.6504528389551177
21,21,5,0.5,0.6307717078022794,0.6660994599261603
22,22,5,0.5,0.6452580029045809,0.6818976256692506
23,23,5,0.5,0.6523271053570352,0.6968145724107332
24,24,5,0.5,0.6501903656269588,0.7100369457065729
25,25,5,0.5,0.6480343708197351,0.7263034144515627
26,26,5,0.5,0.6464152015734814,0.7417560491769635
27,27,5,0.5,0.6467064447103916,0.7571419321160128
28,28,5,0.5,0.6466960290717421,0.7727584049765323
29,0,5,1.0,-0.10717211302445113,0.07210605653012646
30,1,5,1.0,-0.05998079646277468,0.09254618238629071
31,2,5,1.0,-0.013693364593757223,0.11368029200189862
32,3,5,1.0,0.03285410075565923,0.13446631666418868
33,4,5,1.0,0.07939930269387521,0.15430087087654448
34,5,5,1.0,0.12550006231916727,0.17299071444630693
35,6,5,1.0,0.16852704149003495,0.1912488795126604
36,7,5,1.0,0.20974823054759673,0.20893092852627032
37,8,5,1.0,0.2480434405667823,0.2261469556264029
38,9,5,1.0,0.2853278855400102,0.2431662171461832
39,10,5,1.0,0.3226123305132382,0.26108224137493014
40,11,5,1.0,0.35989677548646604,0.28170841171582156
41,12,5,1.0,0.3971812204596938,0.30155786253730044
42,13,5,1.0,0.4312424279263715,0.31919848930553857
43,14,5,1.0,0.4552959807382387,0.3368391160737771
44,15,5,1.0,0.47793154599961213,0.3544797428420156
45,16,5,1.0,0.5020193353385742,0.372120369610254
46,17,5,1.0,0.5281745228775234,0.39013066807330316
47,18,5,1.0,0.5552404598216658,0.408919382466532
48,19,5,1.0,0.5815798031000359,0.42883271809398843
49,20,5,1.0,0.602188127309566,0.4487616802718917
50,21,5,1.0,0.6182182917142305,0.4667388307552501
51,22,5,1.0,0.634845651859703,0.4835052903766757
52,23,5,1.0,0.6524478661419,0.5027700336637426
53,24,5,1.0,0.6549374615133541,0.5221298541751174
54,25,5,1.0,0.6560760736695066,0.5409520595737932
55,26,5,1.0,0.6565725447086705,0.5607935799253981
56,27,5,1.0,0.6550712555086498,0.5808640048864685
57,28,5,1.0,0.6512100903554126,0.6009344298475389
58,0,5,1.5,-0.29190878981889573,-0.18719284092656152
59,1,5,1.5,-0.24812718596612893,-0.17227229133562283
60,2,5,1.5,-0.20392123153096187,-0.15704677689506313
61,3,5,1.5,-0.15934914464999286,-0.1407522827318322
62,4,5,1.5,-0.11146686881090787,-0.12386910371160754
63,5,5,1.5,-0.060493361808129004,-0.10584409887508477
64,6,5,1.5,-0.009503599293381806,-0.08550324270421684
65,7,5,1.5,0.04082272179349025,-0.06405794308519565
66,8,5,1.5,0.08976941197513352,-0.042523824645377725
