AOA,injection_location,injection_slot_size,predicted_cl,predicted_cd
0,5,0.5,-0.06984080154364247,0.3246882584034701
1,5,0.5,-0.02241007128481909,0.34021510236373126
2,5,0.5,0.02331280989589332,0.3548554940567115
3,5,0.5,0.06903569107660601,0.37072986267312086
4,5,0.5,0.11489892871103471,0.38778459426463024
5,5,0.5,0.1581572931575533,0.4049353799232082
6,5,0.5,0.1966562786902894,0.42208616558178597
7,5,0.5,0.23081463726861517,0.441870943844536
8,5,0.5,0.2648397141858398,0.4620706795800696
9,5,0.5,0.2989067565135811,0.4801831112331109
10,5,0.5,0.33590455938407293,0.49749699340819714
11,5,0.5,0.3721190429096308,0.5123362173701443
12,5,0.5,0.4068704182012782,0.5274260730262939
13,5,0.5,0.4416083784238836,0.5431227777772133
14,5,0.5,0.47345438642326537,0.558775291031357
15,5,0.5,0.5021519001664603,0.573965118788041
16,5,0.5,0.5268184319920786,0.5891549465447251
17,5,0.5,0.5479615854739073,0.6043447743014094
18,5,0.5,0.5691106218608306,0.6196111344997718
19,5,0.5,0.5892508333693809,0.6350319867274447
20,5,0.5,0.6102629422365793,0.6504528389551177
21,5,0.5,0.6307717078022794,0.6660994599261603
22,5,0.5,0.6452580029045809,0.6818976256692506
23,5,0.5,0.6523271053570352,0.6968145724107332
24,5,0.5,0.6501903656269588,0.7100369457065729
25,5,0.5,0.6480343708197351,0.7263034144515627
26,5,0.5,0.6464152015734814,0.7417560491769635
27,5,0.5,0.6467064447103916,0.7571419321160128
28,5,0.5,0.6466960290717421,0.7727584049765323
0,5,1.0,-0.10717211302445113,0.07210605653012646
1,5,1.0,-0.05998079646277468,0.09254618238629071
2,5,1.0,-0.013693364593757223,0.11368029200189862
3,5,1.0,0.03285410075565923,0.13446631666418868
4,5,1.0,0.07939930269387521,0.15430087087654448
5,5,1.0,0.12550006231916727,0.17299071444630693
6,5,1.0,0.16852704149003495,0.1912488795126604
7,5,1.0,0.20974823054759673,0.20893092852627032
8,5,1.0,0.2480434405667823,0.2261469556264029
9,5,1.0,0.2853278855400102,0.2431662171461832
10,5,1.0,0.3226123305132382,0.26108224137493014
11,5,1.0,0.35989677548646604,0.28170841171582156
12,5,1.0,0.3971812204596938,0.30155786253730044
13,5,1.0,0.4312424279263715,0.31919848930553857
14,5,1.0,0.4552959807382387,0.3368391160737771
15,5,1.0,0.47793154599961213,0.3544797428420156
16,5,1.0,0.5020193353385742,0.372120369610254
17,5,1.0,0.5281745228775234,0.39013066807330316
18,5,1.0,0.5552404598216658,0.408919382466532
19,5,1.0,0.5815798031000359,0.42883271809398843
20,5,1.0,0.602188127309566,0.4487616802718917
21,5,1.0,0.6182182917142305,0.4667388307552501
22,5,1.0,0.634845651859703,0.4835052903766757
23,5,1.0,0.6524478661419,0.5027700336637426
24,5,1.0,0.6549374615133541,0.5221298541751174
25,5,1.0,0.6560760736695066,0.5409520595737932
26,5,1.0,0.6565725447086705,0.5607935799253981
27,5,1.0,0.6550712555086498,0.5808640048864685
28,5,1.0,0.6512100903554126,0.6009344298475389
0,5,1.5,-0.29190878981889573,-0.18719284092656152
1,5,1.5,-0.24812718596612893,-0.17227229133562283
2,5,1.5,-0.20392123153096187,-0.15704677689506313
3,5,1.5,-0.15934914464999286,-0.1407522827318322
4,5,1.5,-0.11146686881090787,-0.12386910371160754
5,5,1.5,-0.060493361808129004,-0.10584409887508477
6,5,1.5,-0.009503599293381806,-0.08550324270421684
7,5,1.5,0.04082272179349025,-0.06405794308519565
8,5,1.5,0.08976941197513352,-0.042523824645377725
9,5,1.5,0.13734947521536747,-0.021084292428309268
10,5,1.5,0.1796663785500328,-0.0005145364576151362
11,5,1.5,0.22027068154020152,0.020045044664299086
12,5,1.5,0.2617691223596595,0.04237797998212127
13,5,1.5,0.30090669448194635,0.06630364344180949
14,5,1.5,0.3311927632519406,0.09074964916750479
15,5,1.5,0.3611521369070125,0.11217280998158487
16,5,1.5,0.39105551256781396,0.1334679930020135
17,5,1.5,0.41896660643507105,0.15510788451788726
18,5,1.5,0.44437649808738405,0.17703849335382799
19,5,1.5,0.46950554009546047,0.2000210838902473
20,5,1.5,0.4959085620662293,0.22321334383471803
21,5,1.5,0.5183535026496255,0.24640560377918852
22,5,1.5,0.5373307126918729,0.2706521091748691
23,5,1.5,0.5549412304700407,0.2932880978555595
24,5,1.5,0.5706442573581034,0.31551835449903
25,5,1.5,0.5867133409640517,0.3377486111425008
26,5,1.5,0.5908624752166902,0.35997886778597143
27,5,1.5,0.5887850762186884,0.38324738611375675
28,5,1.5,0.5863467448213799,0.408359940697903
0,5,2.0,-0.4043451693808942,-0.3698427851836261
1,5,2.0,-0.35864674201844005,-0.3532798431479308
2,5,2.0,-0.31107232531119716,-0.3363061733083657
3,5,2.0,-0.261826860298905,-0.3190343629702732
4,5,2.0,-0.21239047429009472,-0.29985102213285075
5,5,2.0,-0.16219382435376808,-0.2788328251095979
6,5,2.0,-0.11255366341827713,-0.2574779506718389
7,5,2.0,-0.06845219299529773,-0.23620826490578817
8,5,2.0,-0.02607527049099831,-0.215969576490871
9,5,2.0,0.013820655244302399,-0.19577141835912715
10,5,2.0,0.054147363006682214,-0.17716619858385646
11,5,2.0,0.09267014660815837,-0.1576253842797627
12,5,2.0,0.1276901028370132,-0.13795955550275119
13,5,2.0,0.1614528271724065,-0.1176443471342314
14,5,2.0,0.19408395662642686,-0.09716915940373279
15,5,2.0,0.22859989490304056,-0.07669397167323451
16,5,2.0,0.2628300929076665,-0.057783763634267196
17,5,2.0,0.29435774920903407,-0.03990070749699741
18,5,2.0,0.3231542578632666,-0.02054787288377831
19,5,2.0,0.3516960485075763,0.001638425177703573
20,5,2.0,0.37988698848722835,0.0253148889309789
21,5,2.0,0.4033442300561707,0.04899135268425399
22,5,2.0,0.4251016811068003,0.07342872297572521
23,5,2.0,0.4492374236505953,0.09939448984314646
24,5,2.0,0.47272541071903756,0.12706502485646265
25,5,2.0,0.4944365768446957,0.15447242649853316
26,5,2.0,0.5089957647698038,0.18205943893891968
27,5,2.0,0.5233828934989326,0.2096966350213641
28,5,2.0,0.5377700222280617,0.2373338311038083
0,5,2.5,-0.4425955633204151,-0.4187827160284526
1,5,2.5,-0.4021117826174414,-0.40947248185637636
2,5,2.5,-0.3614498620963309,-0.39855581089176656
