AOA,suction_location,suction_slot_size,predicted_cl,predicted_cd
0,50,2.5,1.0259869181830952,0.1296445467276393
1,50,2.5,1.1261257447882937,0.13927072035475363
2,50,2.5,1.2333387732815948,0.14944967375651885
3,50,2.5,1.3474033102035508,0.1615532040328273
4,50,2.5,1.46415338995723,0.17370308884673208
5,50,2.5,1.5809034697109092,0.1858529736606374
6,50,2.5,1.6976535494645881,0.20081159851180458
7,50,2.5,1.814403629218267,0.2165112919563557
8,50,2.5,1.9311537089719466,0.2321332320611399
9,50,2.5,2.0479037887256255,0.24779344611089743
10,50,2.5,2.1646538684793053,0.26435724929242316
11,50,2.5,2.2825701689613456,0.28322623336232283
12,50,2.5,2.4011223686218237,0.3047208937508358
13,50,2.5,2.520725378807873,0.32736619816680557
14,50,2.5,2.639602473194688,0.35637762743065265
15,50,2.5,2.754527555406966,0.3863099455908921
16,50,2.5,2.855870512855643,0.41698527061670915
17,50,2.5,2.9572134703043207,0.449127382443177
18,50,2.5,3.057159936454957,0.4812694942696459
19,50,2.5,3.156894635619158,0.5134116060961145
20,50,2.5,3.256629334783359,0.5457755965482749
21,50,2.5,3.3563640339475596,0.5795286593114581
22,50,2.5,3.4490135406008577,0.6167993995338212
23,50,2.5,3.5161203423138376,0.6543038949954689
24,50,2.5,3.5824221226585293,0.6918979752389334
25,50,2.5,3.636120088828228,0.7306355229374668
26,50,2.5,3.679991672296204,0.7704072965722848
27,50,2.5,3.713221638852374,0.8116327806259427
28,50,2.5,3.7451736735341683,0.8534370538100113
