AOA,suction_location,suction_slot_size,predicted_cl,predicted_cd
0,50,0.5,0.5367527758796287,0.4569849094842952
1,50,0.5,0.6267111981144663,0.46464283613477725
2,50,0.5,0.7162622249393092,0.4740137147609265
3,50,0.5,0.8057925771569162,0.4854489952545426
4,50,0.5,0.8989519896265974,0.4964864150596103
5,50,0.5,0.9850812745596228,0.5095264520142535
6,50,0.5,1.070760626005952,0.5238524052288152
7,50,0.5,1.1595312567931206,0.5380211288172476
8,50,0.5,1.2512926252792296,0.555399300039845
9,50,0.5,1.3433033264563503,0.5755378617657145
10,50,0.5,1.431088897609334,0.5957678164210491
11,50,0.5,1.5152430059461868,0.6178690103208129
12,50,0.5,1.5970348994259256,0.6399642652595656
13,50,0.5,1.6708464559827774,0.6620425826113299
14,50,0.5,1.7319651793193227,0.6841208999630941
15,50,0.5,1.7864614853484624,0.705998532552822
16,50,0.5,1.8406573252488054,0.7270214661666963
17,50,0.5,1.8948531651491491,0.7480443997805706
18,50,0.5,1.9455305744354257,0.7693228005953918
19,50,0.5,1.9934944495824554,0.7890271726222207
20,50,0.5,2.0392723597240683,0.8070772051459423
21,50,0.5,2.0649228536420283,0.8249913760025933
22,50,0.5,2.0844598159099212,0.842960221553563
23,50,0.5,2.1045249078550574,0.8624400022952683
24,50,0.5,2.1273317291228797,0.8821971068366787
25,50,0.5,2.150660879650727,0.8997037328602133
26,50,0.5,2.173148628066733,0.9163343295010837
27,50,0.5,2.195386821086858,0.9350635318122087
28,50,0.5,2.2176250141069818,0.9569119092721596
0,50,1.0,0.6536739769519202,0.39748601667330213
1,50,1.0,0.7462900326965023,0.4082369723841464
2,50,1.0,0.8389060884410844,0.4189402472505664
3,50,1.0,0.9313663121940948,0.430004209908776
4,50,1.0,1.0268921449796915,0.4427341662007889
5,50,1.0,1.1269293311178903,0.4570053955498456
6,50,1.0,1.2286220043648286,0.4712766248989018
7,50,1.0,1.3326534968403885,0.4854923014139369
8,50,1.0,1.436477227117962,0.5039717173732576
9,50,1.0,1.5387942045315592,0.5255373309523537
10,50,1.0,1.6411095999095981,0.5479118158709702
11,50,1.0,1.7416083595025083,0.5758813524496298
12,50,1.0,1.8400555582945544,0.6044453331538686
13,50,1.0,1.930111612864232,0.632910026347119
14,50,1.0,2.0099949020343946,0.6598724434578997
15,50,1.0,2.086670897583587,0.686825007183937
16,50,1.0,2.15947698841794,0.7122170179980303
17,50,1.0,2.224377552964772,0.7357315776740234
18,50,1.0,2.276990700556545,0.758313275543562
19,50,1.0,2.330283351710859,0.7822164983131195
20,50,1.0,2.3843336056020443,0.8052859674527046
21,50,1.0,2.4176775107792507,0.8298030521850375
22,50,1.0,2.4428285318391367,0.8550880024762977
23,50,1.0,2.4667135645026574,0.8803729527675577
24,50,1.0,2.489183442854806,0.9068422190285614
25,50,1.0,2.5116632265790937,0.9330971132218786
26,50,1.0,2.534001301850988,0.957321374693612
27,50,1.0,2.556686417806503,0.9815456361653452
28,50,1.0,2.580953239718754,1.005769897637079
0,50,1.5,0.6719040404343833,0.2443111781662745
1,50,1.5,0.7768863888612084,0.2548008177206999
2,50,1.5,0.8860015950858949,0.26765219877612983
3,50,1.5,1.0013828934228721,0.2814415278707655
4,50,1.5,1.1176699899112297,0.2970952263591759
5,50,1.5,1.2338636759306933,0.31293988615233215
6,50,1.5,1.3515661781435366,0.33038353436546436
7,50,1.5,1.475967775059719,0.34817502313353027
8,50,1.5,1.6003693719759016,0.3659097638789836
9,50,1.5,1.725192706920233,0.3860579883701328
10,50,1.5,1.850780837856692,0.4149941408485596
11,50,1.5,1.9725217484205584,0.4468357717122509
12,50,1.5,2.0932642432151765,0.4795076173409593
13,50,1.5,2.214006738009794,0.5143295537071837
14,50,1.5,2.3341631299018144,0.5488995279250546
15,50,1.5,2.4533331172108555,0.5824085208347405
16,50,1.5,2.565968697788679,0.6166058869734492
17,50,1.5,2.665033485714871,0.650054041991579
18,50,1.5,2.7474388982811657,0.6849715143875994
19,50,1.5,2.822597748414177,0.7198889867836198
20,50,1.5,2.8860461987514046,0.7548064591796406
21,50,1.5,2.9163584330289396,0.7897170752546576
22,50,1.5,2.946665620285208,0.8248575523234116
23,50,1.5,2.9738524198629515,0.8621739739288798
24,50,1.5,3.0016507087359483,0.8992008484013356
25,50,1.5,3.0278545404104347,0.9340794940962809
26,50,1.5,3.0406897802895445,0.9699808543122181
27,50,1.5,3.0527678628703123,1.0062252855393627
28,50,1.5,3.0644384772630553,1.0407527789115052
0,50,2.0,0.8116526420188482,0.12406257239033197
1,50,2.0,0.9365448470722469,0.13640821283619559
2,50,2.0,1.0614370521256458,0.14949641114561735
3,50,2.0,1.1863292571790447,0.16282456361854752
4,50,2.0,1.3112214622324438,0.1756915503666865
5,50,2.0,1.436113667285843,0.18855854887627282
6,50,2.0,1.561005872339242,0.2057748565316354
7,50,2.0,1.6858980773926409,0.22533943696089648
8,50,2.0,1.8107902824460402,0.2449040173901576
9,50,2.0,1.9356824874994394,0.26446859781941906
10,50,2.0,2.0605746925528385,0.2844791338199701
11,50,2.0,2.1854668976062372,0.3098877034672647
12,50,2.0,2.3103591026596364,0.3382545304778208
13,50,2.0,2.435251307713035,0.368039225545517
14,50,2.0,2.5601435127664343,0.4008232112366053
15,50,2.0,2.685035717819833,0.442559772400897
