,aoa,optimised_cl,optimal_suction_loc,optimal_suction_slot_size,re_values,chord_length
0,0,1.163690259717869,370,1.4030768497089492,2000000,600
1,1,1.249133541862298,240,0.8186043050597447,2000000,600
2,2,1.3442212751009384,240,0.7960632905400529,2000000,600
3,3,1.436512397897544,240,0.7704724957173164,2000000,600
4,4,1.5291609066156016,240,0.7440248977762235,2000000,600
5,5,1.6317402814410633,370,1.9027261782570366,2000000,600
6,6,1.733263143170091,370,1.9178953936183394,2000000,600
7,7,1.834483095209814,370,2.0,2000000,600
8,8,1.936333947087819,370,2.0,2000000,600
9,9,2.045264151822485,370,2.0,2000000,600
10,10,2.152319170702036,370,2.0,2000000,600
11,11,2.25807614616793,370,2.0,2000000,600
12,12,2.377738826562786,284,1.6029833319726492,2000000,600
13,13,2.4963979492652104,287,1.6536535622820987,2000000,600
14,14,2.615809388871668,290,1.7259047066175335,2000000,600
15,15,2.710944623008363,323,2.0,2000000,600
16,16,2.8522603082046074,298,1.815419965754312,2000000,600
17,17,2.9719790976206664,295,1.8573231525653768,2000000,600
18,18,3.0902094245203857,301,1.9152752613630408,2000000,600
19,19,3.206083496988484,299,2.0,2000000,600
20,20,3.297978791107201,299,2.0,2000000,600
21,21,3.3601181784771246,295,2.0,2000000,600
22,22,3.4029657145452594,284,2.0,2000000,600
23,23,3.4253480456309844,272,2.0,2000000,600
24,24,3.4423887435405898,262,2.0,2000000,600
25,25,3.4657011033449487,240,2.0,2000000,600
26,26,3.4827335625295492,240,2.0,2000000,600
27,27,3.499766021714148,240,2.0,2000000,600
