AOA,Suction Location (%C),Suction Size (%C),CL,CD,Re,chord
0,50,2,0.7,0.12,2000000,600
0.5,50,2,0.77,0.126,2000000,600
1,50,2,0.84,0.132,2000000,600
1.5,50,2,0.91,0.138,2000000,600
2,50,2,0.98,0.144,2000000,600
2.5,50,2,1.05,0.15,2000000,600
3,50,2,1.13,0.158,2000000,600
3.5,50,2,1.21,0.166,2000000,600
4,50,2,1.29,0.174,2000000,600
4.5,50,2,1.37,0.182,2000000,600
5,50,2,1.45,0.19,2000000,600
5.5,50,2,1.52,0.198,2000000,600
6,50,2,1.59,0.206,2000000,600
6.5,50,2,1.66,0.214,2000000,600
7,50,2,1.73,0.222,2000000,600
7.5,50,2,1.8,0.23,2000000,600
8,50,2,1.85,0.24,2000000,600
8.5,50,2,1.9,0.25,2000000,600
9,50,2,1.95,0.26,2000000,600
9.5,50,2,2,0.27,2000000,600
10,50,2,2.05,0.28,2000000,600
10.5,50,2,2.11,0.294,2000000,600
11,50,2,2.17,0.308,2000000,600
11.5,50,2,2.23,0.322,2000000,600
12,50,2,2.29,0.336,2000000,600
12.5,50,2,2.35,0.35,2000000,600
13,50,2,2.42,0.366,2000000,600
13.5,50,2,2.49,0.382,2000000,600
14,50,2,2.56,0.398,2000000,600
14.5,50,2,2.63,0.414,2000000,600
15,50,2,2.7,0.43,2000000,600
15.5,50,2,2.76,0.452,2000000,600
16,50,2,2.82,0.474,2000000,600
16.5,50,2,2.88,0.496,2000000,600
17,50,2,2.94,0.518,2000000,600
17.5,50,2,3,0.54,2000000,600
18,50,2,3.06,0.566,2000000,600
18.5,50,2,3.12,0.592,2000000,600
19,50,2,3.18,0.618,2000000,600
19.5,50,2,3.24,0.644,2000000,600
20,50,2,3.3,0.67,2000000,600
20.5,50,2,3.32,0.69,2000000,600
21,50,2,3.34,0.71,2000000,600
21.5,50,2,3.36,0.73,2000000,600
22,50,2,3.38,0.75,2000000,600
22.5,50,2,3.4,0.77,2000000,600
23,50,2,3.43,0.784,2000000,600
23.5,50,2,3.46,0.798,2000000,600
24,50,2,3.49,0.812,2000000,600
24.5,50,2,3.52,0.826,2000000,600
25,50,2,3.55,0.84,2000000,600
25.5,50,2,3.5,0.864,2000000,600
26,50,2,3.45,0.888,2000000,600
26.5,50,2,3.4,0.912,2000000,600
27,50,2,3.35,0.936,2000000,600
27.5,50,2,3.3,0.96,2000000,600
