,aoa,optimised_cd,optimal_injection_loc,optimal_injection_slot_size,re_values,chord_length
0,0,0,9,11.11876773,1217221,600
1,1,0,9,10.6514677,1231074,600
2,2,0,9,10.72176772,1256986,600
3,3,0,9,11.20639793,1242274,600
4,4,0,9,12,1282847,600
5,5,0,9,12,1288037,600
6,6,0,9,12,1312313,600
7,7,0,9,12,1314416,600
8,8,0,9,12,1305192,600
9,9,0,9,12,1292116,600
10,10,0,9,12,1276995,600
11,11,0,9,12,1293465,600
12,12,0,9,12,1336364,600
13,13,0,9,12,1337761,600
14,14,0,9,12,1337768,600
15,15,0,9,12,1348426,600
16,16,0,9,12,1352560,600
17,17,0,9,12,1354779,600
18,18,0,9,12,1362210,600
19,19,0,9,12,1408539,600
20,20,0,9,12,1361564,600
21,21,0,9,12,1370076,600
22,22,0,9,12,1328757,600
23,23,0.025662432,9,12,1322522,600
24,24,0.059334865,9,12,1276733,600
25,25,0.094108263,9,12,1256345,600
26,26,0.128269286,9,12,1227317,600
27,27,0.162808949,9,12,1232331,600
28,28,0.197298733,9,12,1225589,600
29,29,0.232345945,9,12,1238409,600
