AOA,CL,CD
0.0,0.40,0.180
0.5,0.43,0.184
1.0,0.46,0.188
1.5,0.49,0.192
2.0,0.52,0.196
2.5,0.55,0.200
3.0,0.59,0.206
3.5,0.63,0.212
4.0,0.67,0.218
4.5,0.71,0.224
5.0,0.75,0.230
5.5,0.79,0.238
6.0,0.83,0.246
6.5,0.87,0.254
7.0,0.91,0.262
7.5,0.95,0.270
8.0,0.97,0.280
8.5,0.99,0.290
9.0,1.01,0.300
9.5,1.03,0.310
10.0,1.05,0.320
10.5,1.08,0.336
11.0,1.11,0.352
11.5,1.14,0.368
12.0,1.17,0.384
12.5,1.20,0.400
13.0,1.24,0.424
13.5,1.28,0.448
14.0,1.32,0.472
14.5,1.36,0.496
15.0,1.40,0.520
15.5,1.42,0.548
16.0,1.44,0.576
16.5,1.46,0.604
17.0,1.48,0.632
17.5,1.50,0.660
18.0,1.53,0.688
18.5,1.56,0.716
19.0,1.59,0.744
19.5,1.62,0.772
20.0,1.65,0.800
20.5,1.67,0.820
21.0,1.69,0.840
21.5,1.71,0.860
22.0,1.73,0.880
22.5,1.75,0.900
23.0,1.76,0.924
23.5,1.77,0.948
24.0,1.78,0.972
24.5,1.79,0.996
25.0,1.80,1.020
25.5,1.77,1.052
26.0,1.74,1.084
26.5,1.71,1.116
27.0,1.68,1.148
27.5,1.65,1.180
