AoA (degrees),Suction Location (%C),Suction Size (%C),CL,CD
-20,53,0.5,-0.65,0.28
-19.5,53,0.5,-0.66,0.265
-19,53,0.5,-0.67,0.25
-18.5,53,0.5,-0.68,0.235
-18,53,0.5,-0.69,0.22
-17.5,53,0.5,-0.7,0.205
-17,53,0.5,-0.7,0.19
-16.5,53,0.5,-0.7,0.175
-16,53,0.5,-0.7,0.16
-15.5,53,0.5,-0.7,0.14
-15,53,0.5,-0.7,0.12
-14.5,53,0.5,-0.68,0.11
-14,53,0.5,-0.66,0.1
-13.5,53,0.5,-0.62,0.09
-13,53,0.5,-0.58,0.08
-12.5,53,0.5,-0.55,0.07
-12,53,0.5,-0.5,0.06
-11.5,53,0.5,-0.45,0.055
-11,53,0.5,-0.4,0.05
-10.5,53,0.5,-0.35,0.045
-10,53,0.5,-0.3,0.04
-9.5,53,0.5,-0.25,0.038
-9,53,0.5,-0.2,0.035
-8.5,53,0.5,-0.15,0.032
-8,53,0.5,-0.1,0.03
-7.5,53,0.5,-0.05,0.028
-7,53,0.5,0,0.025
-6.5,53,0.5,0.05,0.024
-6,53,0.5,0.1,0.022
-5.5,53,0.5,0.15,0.02
-5,53,0.5,0.2,0.02
-4.5,53,0.5,0.25,0.02
-4,53,0.5,0.3,0.02
-3.5,53,0.5,0.35,0.02
-3,53,0.5,0.4,0.02
-2.5,53,0.5,0.45,0.019
-2,53,0.5,0.5,0.018
-1.5,53,0.5,0.55,0.018
-1,53,0.5,0.6,0.018
-0.5,53,0.5,0.65,0.018
0,53,0.5,0.7,0.018
0.5,53,0.5,0.75,0.018
1,53,0.5,0.8,0.018
1.5,53,0.5,0.85,0.018
2,53,0.5,0.9,0.018
2.5,53,0.5,0.95,0.019
3,53,0.5,1,0.02
3.5,53,0.5,1.05,0.022
4,53,0.5,1.1,0.025
4.5,53,0.5,1.15,0.028
5,53,0.5,1.2,0.03
5.5,53,0.5,1.24,0.035
6,53,0.5,1.28,0.04
6.5,53,0.5,1.32,0.045
7,53,0.5,1.36,0.05
7.5,53,0.5,1.4,0.055
8,53,0.5,1.44,0.06
8.5,53,0.5,1.48,0.08
9,53,0.5,1.52,0.1
9.5,53,0.5,1.55,0.11
10,53,0.5,1.58,0.12
10.5,53,0.5,1.6,0.125
11,53,0.5,1.62,0.13
11.5,53,0.5,1.63,0.135
12,53,0.5,1.64,0.14
12.5,53,0.5,1.65,0.145
13,53,0.5,1.65,0.15
13.5,53,0.5,1.65,0.155
14,53,0.5,1.64,0.16
14.5,53,0.5,1.63,0.165
15,53,0.5,1.62,0.17
15.5,53,0.5,1.6,0.175
16,53,0.5,1.58,0.18
16.5,53,0.5,1.56,0.185
17,53,0.5,1.54,0.19
17.5,53,0.5,1.52,0.195
18,53,0.5,1.5,0.2
18.5,53,0.5,1.48,0.21
19,53,0.5,1.45,0.22
19.5,53,0.5,1.4,0.235
20,53,0.5,1.35,0.25
20.5,53,0.5,1.3,0.265
21,53,0.5,1.25,0.28
21.5,53,0.5,1.2,0.295
22,53,0.5,1.15,0.31
22.5,53,0.5,1.1,0.325
23,53,0.5,1.05,0.34
23.5,53,0.5,1,0.355
24,53,0.5,0.95,0.37
24.5,53,0.5,0.9,0.385
25,53,0.5,0.85,0.4
-20,65,0.5,-0.65,0.28
-19.5,65,0.5,-0.66,0.265
-19,65,0.5,-0.67,0.25
-18.5,65,0.5,-0.68,0.235
-18,65,0.5,-0.69,0.22
-17.5,65,0.5,-0.7,0.205
-17,65,0.5,-0.7,0.19
-16.5,65,0.5,-0.7,0.175
-16,65,0.5,-0.7,0.16
-15.5,65,0.5,-0.7,0.14
-15,65,0.5,-0.7,0.12
-14.5,65,0.5,-0.68,0.11
-14,65,0.5,-0.66,0.1
-13.5,65,0.5,-0.62,0.09
-13,65,0.5,-0.58,0.08
-12.5,65,0.5,-0.55,0.07
-12,65,0.5,-0.5,0.06
-11.5,65,0.5,-0.45,0.055
-11,65,0.5,-0.4,0.05
-10.5,65,0.5,-0.35,0.045
-10,65,0.5,-0.3,0.04
-9.5,65,0.5,-0.25,0.038
-9,65,0.5,-0.2,0.035
-8.5,65,0.5,-0.15,0.032
-8,65,0.5,-0.1,0.03
-7.5,65,0.5,-0.05,0.028
-7,65,0.5,0,0.025
-6.5,65,0.5,0.05,0.024
-6,65,0.5,0.1,0.022
-5.5,65,0.5,0.15,0.02
-5,65,0.5,0.2,0.02
-4.5,65,0.5,0.25,0.02
-4,65,0.5,0.3,0.02
-3.5,65,0.5,0.35,0.02
-3,65,0.5,0.4,0.02
-2.5,65,0.5,0.45,0.019
-2,65,0.5,0.5,0.018
-1.5,65,0.5,0.55,0.018
-1,65,0.5,0.6,0.018
-0.5,65,0.5,0.65,0.018
0,65,0.5,0.7,0.018
0.5,65,0.5,0.75,0.018
1,65,0.5,0.8,0.018
1.5,65,0.5,0.85,0.018
2,65,0.5,0.9,0.018
2.5,65,0.5,0.95,0.019
3,65,0.5,1,0.02
3.5,65,0.5,1.05,0.025
4,65,0.5,1.1,0.03
4.5,65,0.5,1.15,0.035
5,65,0.5,1.2,0.04
5.5,65,0.5,1.24,0.05
6,65,0.5,1.28,0.06
6.5,65,0.5,1.32,0.07
7,65,0.5,1.36,0.08
7.5,65,0.5,1.4,0.09
8,65,0.5,1.44,0.1
8.5,65,0.5,1.48,0.11
9,65,0.5,1.52,0.12
9.5,65,0.5,1.55,0.13
10,65,0.5,1.58,0.14
10.5,65,0.5,1.6,0.145
11,65,0.5,1.62,0.15
11.5,65,0.5,1.63,0.155
12,65,0.5,1.64,0.16
12.5,65,0.5,1.65,0.165
13,65,0.5,1.65,0.17
13.5,65,0.5,1.6,0.17
14,65,0.5,1.6,0.175
14.5,65,0.5,1.59,0.18
15,65,0.5,1.58,0.18
15.5,65,0.5,1.56,0.185
16,65,0.5,1.54,0.19
16.5,65,0.5,1.52,0.195
17,65,0.5,1.5,0.2
17.5,65,0.5,1.47,0.205
18,65,0.5,1.45,0.21
18.5,65,0.5,1.41,0.225
19,65,0.5,1.38,0.24
19.5,65,0.5,1.35,0.25
20,65,0.5,1.32,0.26
20.5,65,0.5,1.27,0.275
21,65,0.5,1.23,0.29
21.5,65,0.5,1.18,0.3
22,65,0.5,1.14,0.31
22.5,65,0.5,1.08,0.33
23,65,0.5,1.02,0.35
23.5,65,0.5,0.96,0.365
24,65,0.5,0.91,0.38
24.5,65,0.5,0.88,0.395
25,65,0.5,0.84,0.41
-20,80,0.5,-0.55,0.28
-19.5,80,0.5,-0.58,0.265
-19,80,0.5,-0.61,0.25
-18.5,80,0.5,-0.64,0.235
-18,80,0.5,-0.67,0.22
-17.5,80,0.5,-0.7,0.205
-17,80,0.5,-0.73,0.19
-16.5,80,0.5,-0.76,0.175
-16,80,0.5,-0.79,0.16
-15.5,80,0.5,-0.82,0.14
-15,80,0.5,-0.85,0.12
-14.5,80,0.5,-0.8,0.11
-14,80,0.5,-0.75,0.1
-13.5,80,0.5,-0.7,0.09
-13,80,0.5,-0.65,0.08
-12.5,80,0.5,-0.6,0.07
-12,80,0.5,-0.55,0.06
-11.5,80,0.5,-0.5,0.055
-11,80,0.5,-0.45,0.05
-10.5,80,0.5,-0.4,0.045
-10,80,0.5,-0.35,0.04
-9.5,80,0.5,-0.3,0.038
-9,80,0.5,-0.25,0.035
-8.5,80,0.5,-0.2,0.032
-8,80,0.5,-0.15,0.03
-7.5,80,0.5,-0.1,0.028
-7,80,0.5,-0.05,0.025
-6.5,80,0.5,0,0.024
-6,80,0.5,0.05,0.022
-5.5,80,0.5,0.1,0.02
-5,80,0.5,0.15,0.02
-4.5,80,0.5,0.2,0.02
-4,80,0.5,0.25,0.02
-3.5,80,0.5,0.3,0.02
-3,80,0.5,0.35,0.02
-2.5,80,0.5,0.4,0.019
-2,80,0.5,0.45,0.018
-1.5,80,0.5,0.5,0.018
