AoA (degrees),Suction Location (%C),calc_suction_loc,Suction Size (%C),calc_suction_slot_size,CL,CD,Re,chord
-20,53,243.8,0.5,2.3,-0.65,0.28,1000000,460
-19.5,53,243.8,0.5,2.3,-0.66,0.265,1000000,460
-19,53,243.8,0.5,2.3,-0.67,0.25,1000000,460
-18.5,53,243.8,0.5,2.3,-0.68,0.235,1000000,460
-18,53,243.8,0.5,2.3,-0.69,0.22,1000000,460
-17.5,53,243.8,0.5,2.3,-0.7,0.205,1000000,460
-17,53,243.8,0.5,2.3,-0.7,0.19,1000000,460
-16.5,53,243.8,0.5,2.3,-0.7,0.175,1000000,460
-16,53,243.8,0.5,2.3,-0.7,0.16,1000000,460
-15.5,53,243.8,0.5,2.3,-0.7,0.14,1000000,460
-15,53,243.8,0.5,2.3,-0.7,0.12,1000000,460
-14.5,53,243.8,0.5,2.3,-0.68,0.11,1000000,460
-14,53,243.8,0.5,2.3,-0.66,0.1,1000000,460
-13.5,53,243.8,0.5,2.3,-0.62,0.09,1000000,460
-13,53,243.8,0.5,2.3,-0.58,0.08,1000000,460
-12.5,53,243.8,0.5,2.3,-0.55,0.07,1000000,460
-12,53,243.8,0.5,2.3,-0.5,0.06,1000000,460
-11.5,53,243.8,0.5,2.3,-0.45,0.055,1000000,460
-11,53,243.8,0.5,2.3,-0.4,0.05,1000000,460
-10.5,53,243.8,0.5,2.3,-0.35,0.045,1000000,460
-10,53,243.8,0.5,2.3,-0.3,0.04,1000000,460
-9.5,53,243.8,0.5,2.3,-0.25,0.038,1000000,460
-9,53,243.8,0.5,2.3,-0.2,0.035,1000000,460
-8.5,53,243.8,0.5,2.3,-0.15,0.032,1000000,460
-8,53,243.8,0.5,2.3,-0.1,0.03,1000000,460
-7.5,53,243.8,0.5,2.3,-0.05,0.028,1000000,460
-7,53,243.8,0.5,2.3,0,0.025,1000000,460
-6.5,53,243.8,0.5,2.3,0.05,0.024,1000000,460
-6,53,243.8,0.5,2.3,0.1,0.022,1000000,460
-5.5,53,243.8,0.5,2.3,0.15,0.02,1000000,460
-5,53,243.8,0.5,2.3,0.2,0.02,1000000,460
-4.5,53,243.8,0.5,2.3,0.25,0.02,1000000,460
-4,53,243.8,0.5,2.3,0.3,0.02,1000000,460
-3.5,53,243.8,0.5,2.3,0.35,0.02,1000000,460
-3,53,243.8,0.5,2.3,0.4,0.02,1000000,460
-2.5,53,243.8,0.5,2.3,0.45,0.019,1000000,460
-2,53,243.8,0.5,2.3,0.5,0.018,1000000,460
-1.5,53,243.8,0.5,2.3,0.55,0.018,1000000,460
-1,53,243.8,0.5,2.3,0.6,0.018,1000000,460
-0.5,53,243.8,0.5,2.3,0.65,0.018,1000000,460
0,53,243.8,0.5,2.3,0.7,0.018,1000000,460
0.5,53,243.8,0.5,2.3,0.75,0.018,1000000,460
1,53,243.8,0.5,2.3,0.8,0.018,1000000,460
1.5,53,243.8,0.5,2.3,0.85,0.018,1000000,460
2,53,243.8,0.5,2.3,0.9,0.018,1000000,460
2.5,53,243.8,0.5,2.3,0.95,0.019,1000000,460
3,53,243.8,0.5,2.3,1,0.02,1000000,460
3.5,53,243.8,0.5,2.3,1.05,0.022,1000000,460
4,53,243.8,0.5,2.3,1.1,0.025,1000000,460
4.5,53,243.8,0.5,2.3,1.15,0.028,1000000,460
5,53,243.8,0.5,2.3,1.2,0.03,1000000,460
5.5,53,243.8,0.5,2.3,1.24,0.035,1000000,460
6,53,243.8,0.5,2.3,1.28,0.04,1000000,460
6.5,53,243.8,0.5,2.3,1.32,0.045,1000000,460
7,53,243.8,0.5,2.3,1.36,0.05,1000000,460
7.5,53,243.8,0.5,2.3,1.4,0.055,1000000,460
8,53,243.8,0.5,2.3,1.44,0.06,1000000,460
8.5,53,243.8,0.5,2.3,1.48,0.08,1000000,460
9,53,243.8,0.5,2.3,1.52,0.1,1000000,460
9.5,53,243.8,0.5,2.3,1.55,0.11,1000000,460
10,53,243.8,0.5,2.3,1.58,0.12,1000000,460
10.5,53,243.8,0.5,2.3,1.6,0.125,1000000,460
11,53,243.8,0.5,2.3,1.62,0.13,1000000,460
11.5,53,243.8,0.5,2.3,1.63,0.135,1000000,460
12,53,243.8,0.5,2.3,1.64,0.14,1000000,460
12.5,53,243.8,0.5,2.3,1.65,0.145,1000000,460
13,53,243.8,0.5,2.3,1.65,0.15,1000000,460
13.5,53,243.8,0.5,2.3,1.65,0.155,1000000,460
14,53,243.8,0.5,2.3,1.64,0.16,1000000,460
14.5,53,243.8,0.5,2.3,1.63,0.165,1000000,460
15,53,243.8,0.5,2.3,1.62,0.17,1000000,460
15.5,53,243.8,0.5,2.3,1.6,0.175,1000000,460
16,53,243.8,0.5,2.3,1.58,0.18,1000000,460
16.5,53,243.8,0.5,2.3,1.56,0.185,1000000,460
17,53,243.8,0.5,2.3,1.54,0.19,1000000,460
17.5,53,243.8,0.5,2.3,1.52,0.195,1000000,460
18,53,243.8,0.5,2.3,1.5,0.2,1000000,460
18.5,53,243.8,0.5,2.3,1.48,0.21,1000000,460
19,53,243.8,0.5,2.3,1.45,0.22,1000000,460
19.5,53,243.8,0.5,2.3,1.4,0.235,1000000,460
20,53,243.8,0.5,2.3,1.35,0.25,1000000,460
20.5,53,243.8,0.5,2.3,1.3,0.265,1000000,460
21,53,243.8,0.5,2.3,1.25,0.28,1000000,460
21.5,53,243.8,0.5,2.3,1.2,0.295,1000000,460
22,53,243.8,0.5,2.3,1.15,0.31,1000000,460
22.5,53,243.8,0.5,2.3,1.1,0.325,1000000,460
23,53,243.8,0.5,2.3,1.05,0.34,1000000,460
23.5,53,243.8,0.5,2.3,1,0.355,1000000,460
24,53,243.8,0.5,2.3,0.95,0.37,1000000,460
24.5,53,243.8,0.5,2.3,0.9,0.385,1000000,460
25,53,243.8,0.5,2.3,0.85,0.4,1000000,460
-20,65,299,0.5,2.3,-0.65,0.28,1000000,460
