,aoa,optimised_cd,optimal_suction_loc,optimal_suction_slot_size,re_values,chord_length
0,0,0.0,234,6.569826508976172,1077480,574
1,1,0.0,241,6.2080546972775865,1000000,569
2,2,0.0,236,6.910742899112779,1105016,569
3,3,0.0,248,6.255940836809566,1123075,553
4,4,0.0,255,4.756085960247557,1000000,536
5,5,0.0,244,5.306820456951521,1040814,533
6,6,0.0,233,4.951013515668375,1000000,582
7,7,0.0,242,5.438724890135587,1033137,546
8,8,0.0,237,4.208003635334907,1000000,572
9,9,0.0,234,4.400201048025716,1000000,567
10,10,0.0,252,4.5490761320525355,1000000,558
11,11,0.0,236,4.5098798887364975,1000000,571
12,12,0.0,233,4.714153483444559,1000000,585
13,13,0.0,231,4.645594513210771,1000000,600
14,14,0.0,240,1.0,1000000,565
15,15,0.0,246,1.0,1000000,548
16,16,0.0,241,1.0,1000000,558
17,17,0.006540939710274363,234,1.0,1000000,565
18,18,0.024266374391778422,238,1.0,1000000,565
19,19,0.043304665635986506,235,1.0,1000000,572
20,20,0.06459235632546911,237,1.0,1000000,564
21,21,0.0823471211017569,230,1.0,1000000,577
22,22,0.10188357393845054,228,1.0,1000000,581
23,23,0.12472400822310525,233,1.0,1000000,578
24,24,0.1468966947339289,226,1.0,1000000,587
25,25,0.16867684548967593,231,1.0,1000000,589
26,26,0.19202469795138177,230,1.0,1000000,600
27,27,0.21457019370964736,226,1.0,1000000,600
28,28,0.24245740550026107,232,1.0,1000000,600
29,29,0.27024400757280703,234,1.0,1000000,600
