,aoa,optimised_cl,optimal_suction_loc,optimal_suction_slot_size,re_values,chord_length
0,0,3.277475493638944,311,3.6946490808379933,2500000,800
1,1,3.3080350377415795,365,1.0,2500000,800
2,2,3.4603940061274554,310,4.663192375236896,2500000,800
3,3,3.546241492384132,312,5.390357192235908,2500000,800
4,4,3.6391248844561104,310,5.114699972063429,2500000,800
5,5,3.724469922364297,316,5.451893248570485,2500000,800
6,6,3.8095193178156608,311,5.809172622136998,2500000,800
7,7,3.918940329722901,235,9.728717649435804,2500000,800
8,8,4.019840387745636,238,9.529106215418878,2500000,800
9,9,4.122368758654823,235,10.232051423848782,2500000,800
10,10,4.2240550250778774,235,10.274664837620424,2500000,800
11,11,4.320743428415899,238,10.954493737854992,2500000,800
12,12,4.427119010508077,227,10.796740099350256,2500000,800
13,13,4.52523734182379,234,10.907650885670028,2500000,800
14,14,4.622892129394842,234,11.269306959073727,2500000,800
15,15,4.718576779353739,238,11.503317476856965,2500000,800
16,16,4.811631960867398,240,11.410441504428361,2500000,800
17,17,4.90183471187599,238,11.684326523591219,2500000,800
18,18,4.988951808026904,242,12.343500022789595,2500000,800
19,19,5.081698226295471,252,12.395537662739962,2500000,800
20,20,5.168021364420117,254,13.101668209585792,2500000,800
21,21,5.251851614670443,245,13.992989455734941,2500000,800
22,22,5.357201020889902,277,15.0,2500000,800
23,23,5.463360362052869,281,15.0,2500000,800
24,24,5.5686102298549365,286,15.0,2500000,800
25,25,5.665238983421404,287,15.0,2500000,800
26,26,5.759967252377601,289,15.0,2500000,800
27,27,5.851085112720713,292,15.0,2500000,800
