,aoa,optimised_cl,optimal_suction_loc,optimal_suction_slot_size,re_values,chord_length
0,0,1.0921021981479369,50.0,2.0,1000000.0,460.0
1,1,1.166651794022584,50.0,2.0,1000000.0,460.0
2,2,1.232998995080855,50.0,2.0,1000000.0,460.0
3,3,1.2914982123160221,50.0,2.0,1000000.0,460.0
4,4,1.3490739461509957,50.0,2.0,1000000.0,460.0
5,5,1.4113895751030407,50.0,2.0,2000000.0,600.0
6,6,1.5420769646059422,50.0,2.0,2000000.0,600.0
7,7,1.6727643541088428,50.0,2.0,2000000.0,600.0
8,8,1.8034517436117443,50.0,2.0,2000000.0,600.0
9,9,1.934139133114645,50.0,2.0,2000000.0,600.0
10,10,2.0648265226175466,50.0,2.0,2000000.0,600.0
11,11,2.1955139121204477,50.0,2.0,2000000.0,600.0
12,12,2.3262013016233487,50.0,2.0,2000000.0,600.0
13,13,2.4568886911262497,50.0,2.0,2000000.0,600.0
14,14,2.5875760806291517,50.0,2.0,2000000.0,600.0
15,15,2.7180230085241313,50.0,2.0,2000000.0,600.0
16,16,2.848333104933472,50.0,2.0,2000000.0,600.0
17,17,2.9703851010545286,50.0,2.0,2000000.0,600.0
18,18,3.0827194370778814,50.0,2.0,2000000.0,600.0
19,19,3.1814131008577027,50.0,2.0,2000000.0,600.0
20,20,3.269248035389232,50.0,2.0,2000000.0,600.0
21,21,3.3463114689674818,50.0,2.0,2000000.0,600.0
22,22,3.390258609643025,50.0,2.0,2000000.0,600.0
23,23,3.422204983298399,50.0,2.0,2000000.0,600.0
24,24,3.439728528749505,50.0,2.0,2000000.0,600.0
25,25,3.4548565566187435,50.0,2.0,2000000.0,600.0
26,26,3.4690494610669234,50.0,2.0,2000000.0,600.0
27,27,3.483242365515104,50.0,2.0,2000000.0,600.0
